Jun 20 14:15:24 rx10025878 syslogd: restart
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153448 Current Voltage: 708 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:22 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153635 Current Voltage: 753 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153302 Current Voltage: 709 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153442 Current Voltage: 711 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153330 Current Voltage: 713 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153239 Current Voltage: 714 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153150 Current Voltage: 715 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153396 Current Voltage: 717 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153334 Current Voltage: 718 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153406 Current Voltage: 720 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:22 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153379 Current Voltage: 721 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153617 Current Voltage: 723 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153258 Current Voltage: 724 
Jun 20 14:20:23 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153274 Current Voltage: 755 
Jun 20 14:20:23 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:23 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153262 Current Voltage: 755 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153258 Current Voltage: 726 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153129 Current Voltage: 726 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153261 Current Voltage: 728 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153139 Current Voltage: 729 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153119 Current Voltage: 730 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:23 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153059 Current Voltage: 731 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153217 Current Voltage: 732 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153107 Current Voltage: 732 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153275 Current Voltage: 734 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153171 Current Voltage: 734 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153279 Current Voltage: 735 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153193 Current Voltage: 736 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153401 Current Voltage: 737 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153366 Current Voltage: 738 
Jun 20 14:20:24 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153122 Current Voltage: 755 
Jun 20 14:20:24 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:24 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 152919 Current Voltage: 755 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153318 Current Voltage: 739 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:24 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153141 Current Voltage: 739 
