Jun 29 13:00:24 rx10025878 syslogd: restart
Jun 29 13:07:07 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147402 Current Voltage: 605 
Jun 29 13:07:07 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:07 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147467 Current Voltage: 606 
Jun 29 13:07:10 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147362 Current Voltage: 604 
Jun 29 13:07:10 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:10 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147511 Current Voltage: 605 
Jun 29 13:07:13 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147018 Current Voltage: 603 
Jun 29 13:07:13 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:13 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146949 Current Voltage: 604 
Jun 29 13:07:17 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146952 Current Voltage: 603 
Jun 29 13:07:17 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:17 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147050 Current Voltage: 604 
Jun 29 13:07:17 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146933 Current Voltage: 606 
Jun 29 13:07:17 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:17 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146778 Current Voltage: 607 
Jun 29 13:07:20 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147411 Current Voltage: 605 
Jun 29 13:07:20 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:20 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147419 Current Voltage: 606 
Jun 29 13:07:28 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146265 Current Voltage: 599 
Jun 29 13:07:28 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:28 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146376 Current Voltage: 600 
Jun 29 13:07:30 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146841 Current Voltage: 603 
Jun 29 13:07:30 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:30 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146763 Current Voltage: 604 
Jun 29 13:07:33 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146586 Current Voltage: 601 
Jun 29 13:07:33 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:33 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146500 Current Voltage: 601 
Jun 29 13:07:33 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146378 Current Voltage: 603 
Jun 29 13:07:33 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:33 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146171 Current Voltage: 603 
Jun 29 13:07:36 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146511 Current Voltage: 601 
Jun 29 13:07:36 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:36 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146412 Current Voltage: 603 
Jun 29 13:07:38 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147122 Current Voltage: 602 
Jun 29 13:07:38 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:38 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147113 Current Voltage: 603 
Jun 29 13:07:39 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146965 Current Voltage: 603 
Jun 29 13:07:39 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:39 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147125 Current Voltage: 603 
Jun 29 13:07:40 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147144 Current Voltage: 605 
